,t0 symptom,t1 diet,t2 hair,t3 help,t4 control,t5 period,t6 insulin,t7 weight,t8 like,t9 nt,dominant_topic
8ustvg,0.16,0.0,0.23,0.03,0.06,0.0,0.25,0.08,0.2,0.0,6
8utdi1,0.0,0.19,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,4
8uto4j,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,5
8uul8s,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.54,9
8uvouv,0.37,0.0,0.27,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0
8vbkbh,0.1,0.08,0.02,0.24,0.06,0.22,0.0,0.0,0.29,0.0,8
8vddk8,0.01,0.01,0.21,0.27,0.01,0.01,0.01,0.01,0.01,0.48,9
8vdt8j,0.58,0.0,0.2,0.0,0.0,0.14,0.0,0.0,0.07,0.0,0
8ve3wc,0.0,0.27,0.0,0.0,0.0,0.11,0.0,0.59,0.0,0.0,7
8ve3z2,0.01,0.01,0.01,0.11,0.85,0.01,0.01,0.01,0.01,0.01,4
8vf4x6,0.0,0.19,0.0,0.0,0.0,0.0,0.04,0.38,0.15,0.23,7
8vf7nc,0.07,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.8,0.0,8
8vfoc9,0.0,0.0,0.01,0.01,0.06,0.41,0.0,0.0,0.13,0.38,5
8vgjjw,0.0,0.21,0.0,0.38,0.22,0.0,0.09,0.07,0.0,0.0,3
8vh0b2,0.0,0.03,0.21,0.08,0.0,0.0,0.23,0.05,0.4,0.0,8
8vh4pa,0.11,0.01,0.01,0.82,0.01,0.01,0.01,0.01,0.01,0.01,3
8vhvbl,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.51,0.33,8
8vhvc8,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.34,0.0,2
8vidcz,0.03,0.03,0.03,0.52,0.03,0.03,0.27,0.03,0.03,0.03,3
8vidt3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.11,8
8vj1ek,0.02,0.0,0.04,0.0,0.0,0.05,0.0,0.0,0.09,0.79,9
8vjcao,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.5,9
8vl0rf,0.0,0.0,0.0,0.23,0.23,0.47,0.0,0.0,0.07,0.0,5
8vlhka,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.57,0.38,0.01,7
8vlzhz,0.01,0.01,0.01,0.08,0.88,0.01,0.01,0.01,0.01,0.01,4
8vm1kv,0.45,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.13,0.16,0
8vmzfm,0.07,0.0,0.0,0.07,0.42,0.0,0.0,0.0,0.44,0.0,8
8vnnjy,0.0,0.24,0.0,0.0,0.2,0.0,0.0,0.0,0.52,0.0,8
8vnwxf,0.06,0.06,0.06,0.0,0.0,0.14,0.09,0.04,0.16,0.39,9
8vp750,0.0,0.0,0.0,0.0,0.0,0.58,0.17,0.0,0.24,0.0,5
8vq2ka,0.51,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.19,0.05,0
8vroxq,0.0,0.03,0.21,0.08,0.0,0.0,0.23,0.05,0.4,0.0,8
8vroym,0.0,0.03,0.21,0.08,0.0,0.0,0.23,0.05,0.4,0.0,8
8vrsr1,0.0,0.0,0.0,0.0,0.14,0.28,0.0,0.0,0.36,0.2,8
8vseb6,0.0,0.27,0.06,0.0,0.0,0.22,0.0,0.32,0.12,0.0,7
8vsu1x,0.23,0.0,0.13,0.0,0.26,0.0,0.0,0.2,0.0,0.18,4
8vu0fn,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.11,0.82,0.01,8
8vu3jr,0.01,0.01,0.01,0.3,0.01,0.01,0.01,0.01,0.61,0.01,8
8vuf5v,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.24,0.12,7
8vuqrl,0.0,0.32,0.47,0.0,0.0,0.0,0.0,0.0,0.17,0.0,2
8vvfl2,0.0,0.37,0.0,0.0,0.0,0.0,0.19,0.19,0.0,0.24,1
8vvmqq,0.0,0.29,0.0,0.37,0.31,0.0,0.0,0.0,0.0,0.0,3
8vvzm9,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,9
8vxqzl,0.01,0.01,0.49,0.15,0.01,0.01,0.13,0.01,0.19,0.01,2
8vy4m4,0.0,0.0,0.0,0.0,0.19,0.09,0.54,0.0,0.0,0.16,6
8vysvq,0.26,0.29,0.07,0.06,0.16,0.0,0.06,0.0,0.1,0.0,1
8w0dlv,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.77,0.11,8
8w23dy,0.19,0.16,0.0,0.29,0.0,0.0,0.0,0.34,0.0,0.0,7
8w3cvh,0.0,0.71,0.0,0.0,0.0,0.03,0.0,0.0,0.24,0.0,1
8w3hpa,0.01,0.01,0.01,0.01,0.41,0.5,0.01,0.01,0.01,0.01,5
8w4qce,0.33,0.01,0.08,0.0,0.0,0.5,0.0,0.08,0.0,0.0,5
8w72nf,0.0,0.0,0.0,0.11,0.54,0.0,0.2,0.0,0.0,0.14,4
8w7k2s,0.0,0.0,0.05,0.0,0.0,0.53,0.09,0.0,0.0,0.3,5
8w7u3q,0.34,0.01,0.25,0.01,0.2,0.01,0.17,0.01,0.01,0.01,0
8w9nf5,0.29,0.0,0.0,0.0,0.13,0.32,0.03,0.0,0.12,0.1,5
8w9qb8,0.02,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,6
8w9sig,0.29,0.0,0.0,0.0,0.13,0.32,0.03,0.0,0.12,0.1,5
8wb9ph,0.0,0.0,0.0,0.0,0.19,0.28,0.0,0.0,0.24,0.27,5
8wbnfe,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.89,9
8wduxs,0.0,0.0,0.18,0.24,0.36,0.0,0.0,0.0,0.21,0.0,4
8wf0l7,0.0,0.0,0.0,0.04,0.0,0.38,0.33,0.0,0.12,0.13,5
8whayg,0.13,0.0,0.18,0.16,0.0,0.28,0.05,0.0,0.0,0.19,5
8whh1p,0.2,0.34,0.0,0.0,0.0,0.0,0.0,0.22,0.23,0.0,1
8wi13g,0.37,0.0,0.04,0.0,0.0,0.0,0.28,0.0,0.29,0.0,0
8wivoj,0.18,0.01,0.01,0.01,0.01,0.01,0.01,0.24,0.01,0.52,9
8wl2jh,0.0,0.0,0.26,0.42,0.0,0.0,0.14,0.0,0.0,0.16,3
8wmads,0.0,0.0,0.0,0.0,0.36,0.0,0.4,0.0,0.22,0.0,6
8wmcbi,0.01,0.65,0.01,0.31,0.01,0.01,0.01,0.01,0.01,0.01,1
8wmqso,0.12,0.16,0.03,0.06,0.0,0.51,0.0,0.0,0.12,0.0,5
8wmw8o,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.44,5
8wmxe1,0.53,0.0,0.32,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0
8wniht,0.0,0.0,0.15,0.0,0.63,0.0,0.0,0.19,0.0,0.0,4
8wowkq,0.0,0.0,0.0,0.5,0.0,0.11,0.0,0.04,0.34,0.0,3
8wp422,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,3
8wq4fz,0.14,0.0,0.0,0.0,0.0,0.26,0.06,0.1,0.24,0.2,5
8wq7vn,0.13,0.0,0.0,0.27,0.48,0.0,0.11,0.0,0.0,0.0,4
8wqji1,0.0,0.0,0.15,0.0,0.0,0.0,0.82,0.0,0.0,0.0,6
8wrc9y,0.5,0.08,0.0,0.06,0.0,0.0,0.05,0.08,0.0,0.23,0
8wrwzl,0.15,0.0,0.49,0.0,0.0,0.09,0.0,0.0,0.0,0.26,2
8wtipq,0.11,0.0,0.0,0.0,0.52,0.23,0.0,0.12,0.0,0.0,4
8wumz0,0.0,0.0,0.0,0.0,0.25,0.73,0.0,0.0,0.0,0.0,5
8wvtes,0.0,0.31,0.12,0.0,0.0,0.0,0.0,0.35,0.0,0.21,7
8wwjcv,0.0,0.13,0.0,0.08,0.1,0.15,0.19,0.05,0.19,0.12,6
8wxdi1,0.01,0.01,0.01,0.61,0.01,0.01,0.01,0.01,0.01,0.35,3
8wydus,0.01,0.01,0.17,0.01,0.75,0.01,0.01,0.01,0.01,0.01,4
8wyfaa,0.0,0.0,0.0,0.03,0.07,0.0,0.0,0.32,0.48,0.09,8
8wykwz,0.13,0.0,0.05,0.0,0.0,0.0,0.0,0.72,0.07,0.0,7
8wykyx,0.65,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0
8wz3ky,0.18,0.12,0.36,0.0,0.23,0.1,0.0,0.0,0.0,0.0,2
8x1219,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.73,9
8x15aa,0.01,0.01,0.94,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
8x15ff,0.21,0.05,0.19,0.0,0.24,0.0,0.0,0.19,0.11,0.0,4
8x2m14,0.0,0.0,0.84,0.0,0.06,0.0,0.0,0.0,0.07,0.0,2
8x3e4m,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,3
8x4ker,0.08,0.0,0.0,0.19,0.31,0.0,0.17,0.25,0.0,0.0,4
8x4lnu,0.15,0.0,0.0,0.47,0.0,0.34,0.0,0.0,0.0,0.0,3
8x4n8n,0.31,0.0,0.08,0.0,0.0,0.18,0.0,0.0,0.41,0.0,8
8x58yc,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.31,0.0,0.0,5
8x6y6w,0.26,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.27,0.11,4
8x79bd,0.16,0.13,0.03,0.13,0.22,0.0,0.26,0.0,0.0,0.08,6
8x8844,0.14,0.0,0.05,0.0,0.0,0.53,0.0,0.0,0.0,0.27,5
8x8evs,0.01,0.09,0.01,0.01,0.29,0.01,0.01,0.01,0.58,0.01,8
8x8p5b,0.17,0.01,0.01,0.76,0.01,0.01,0.01,0.01,0.01,0.01,3
8xad2z,0.0,0.0,0.0,0.16,0.0,0.0,0.03,0.0,0.69,0.1,8
8xbi7f,0.0,0.0,0.2,0.05,0.22,0.0,0.14,0.19,0.11,0.09,4
8xbre2,0.14,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.82,9
8xbzpb,0.06,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.08,0.12,5
8xdpoz,0.0,0.0,0.03,0.0,0.68,0.04,0.0,0.0,0.25,0.0,4
8xdr9p,0.01,0.16,0.01,0.28,0.01,0.01,0.01,0.01,0.48,0.01,8
8xdvtw,0.01,0.01,0.91,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
8xdzou,0.2,0.17,0.0,0.0,0.34,0.0,0.12,0.0,0.18,0.0,4
8xe2ci,0.04,0.0,0.01,0.01,0.17,0.41,0.04,0.0,0.04,0.29,5
8xers7,0.15,0.01,0.16,0.06,0.4,0.0,0.09,0.09,0.0,0.03,4
8xeu81,0.0,0.0,0.0,0.1,0.24,0.44,0.0,0.0,0.2,0.0,5
8xh657,0.0,0.13,0.0,0.03,0.0,0.0,0.0,0.24,0.58,0.0,8
8xj39s,0.0,0.17,0.0,0.0,0.14,0.12,0.2,0.0,0.0,0.36,9
8xj4xv,0.31,0.0,0.0,0.0,0.23,0.06,0.0,0.0,0.14,0.24,0
8xk0xw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.13,8
8xlqgk,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.53,9
8xmdfi,0.0,0.0,0.0,0.06,0.0,0.26,0.53,0.14,0.0,0.0,6
8xo6qn,0.0,0.0,0.0,0.08,0.0,0.24,0.03,0.0,0.3,0.34,9
8xqfxq,0.0,0.0,0.08,0.13,0.0,0.1,0.14,0.0,0.14,0.41,9
8xr9zu,0.0,0.0,0.39,0.0,0.0,0.09,0.0,0.0,0.49,0.0,8
8xs2ex,0.26,0.0,0.0,0.4,0.03,0.0,0.22,0.0,0.0,0.09,3
8xsiex,0.0,0.06,0.0,0.07,0.08,0.0,0.0,0.51,0.27,0.0,7
8xsmrp,0.01,0.01,0.55,0.01,0.01,0.01,0.01,0.01,0.4,0.01,2
8xswhz,0.2,0.18,0.07,0.14,0.41,0.0,0.0,0.0,0.0,0.0,4
8xtvm3,0.01,0.01,0.01,0.27,0.66,0.01,0.01,0.01,0.01,0.01,4
8xvspv,0.26,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,9
8xvyey,0.18,0.01,0.01,0.7,0.01,0.01,0.01,0.01,0.01,0.01,3
8xw5uv,0.0,0.0,0.5,0.12,0.15,0.0,0.0,0.0,0.22,0.0,2
8xw7k3,0.26,0.0,0.0,0.11,0.16,0.0,0.0,0.0,0.0,0.47,9
8xw97t,0.0,0.1,0.0,0.65,0.08,0.0,0.0,0.15,0.0,0.0,3
8xwv4v,0.01,0.01,0.01,0.27,0.66,0.01,0.01,0.01,0.01,0.01,4
8xxra5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.94,0.01,8
8y158w,0.01,0.01,0.01,0.13,0.01,0.01,0.43,0.01,0.39,0.01,6
8y235y,0.01,0.01,0.23,0.01,0.01,0.01,0.72,0.01,0.01,0.01,6
8y2cvt,0.3,0.0,0.0,0.19,0.0,0.0,0.0,0.49,0.0,0.0,7
8y38f0,0.01,0.01,0.01,0.33,0.01,0.01,0.01,0.01,0.01,0.59,9
8y3alg,0.01,0.01,0.01,0.87,0.01,0.01,0.01,0.01,0.01,0.01,3
8y3h6l,0.0,0.0,0.0,0.0,0.09,0.0,0.33,0.49,0.09,0.0,7
8y3t9n,0.16,0.0,0.31,0.11,0.0,0.0,0.0,0.07,0.34,0.0,8
8y51ex,0.05,0.17,0.0,0.0,0.38,0.27,0.0,0.0,0.0,0.12,4
8y599e,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,3
8y5k0a,0.56,0.0,0.0,0.0,0.21,0.0,0.21,0.0,0.0,0.0,0
8y5pgb,0.14,0.0,0.08,0.0,0.32,0.16,0.05,0.07,0.0,0.19,4
8y697w,0.08,0.0,0.06,0.0,0.02,0.4,0.15,0.09,0.2,0.0,5
8y6qzf,0.0,0.0,0.04,0.0,0.12,0.0,0.0,0.0,0.53,0.31,8
8y70mo,0.0,0.07,0.0,0.04,0.0,0.36,0.41,0.0,0.0,0.1,6
8y7iet,0.0,0.13,0.0,0.0,0.32,0.0,0.37,0.1,0.07,0.0,6
8y88z1,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,6
8y92td,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.22,0.28,5
8y9346,0.44,0.0,0.0,0.14,0.05,0.0,0.26,0.1,0.0,0.0,0
8y9m5x,0.06,0.05,0.22,0.2,0.0,0.0,0.0,0.12,0.16,0.19,2
8y9m9m,0.14,0.0,0.0,0.34,0.0,0.0,0.15,0.0,0.0,0.34,3
8yaqc4,0.38,0.17,0.06,0.0,0.07,0.13,0.0,0.1,0.11,0.0,0
8yb5be,0.01,0.69,0.01,0.01,0.01,0.01,0.01,0.01,0.24,0.01,1
8yb620,0.15,0.0,0.0,0.1,0.0,0.0,0.56,0.08,0.1,0.0,6
8yc18t,0.22,0.0,0.0,0.1,0.0,0.25,0.0,0.09,0.0,0.32,9
8yderd,0.31,0.0,0.0,0.0,0.36,0.0,0.0,0.31,0.0,0.0,4
8ye5zp,0.01,0.01,0.01,0.74,0.01,0.01,0.01,0.01,0.19,0.01,3
8yf7i7,0.0,0.32,0.12,0.07,0.0,0.05,0.23,0.08,0.13,0.0,1
8yfro4,0.1,0.0,0.0,0.0,0.23,0.31,0.1,0.0,0.0,0.25,5
8yg2hp,0.0,0.0,0.02,0.23,0.0,0.0,0.0,0.0,0.62,0.12,8
8ygkfb,0.07,0.5,0.0,0.07,0.0,0.0,0.0,0.35,0.0,0.0,1
8yh0md,0.1,0.0,0.17,0.0,0.15,0.49,0.0,0.08,0.0,0.0,5
8yjkmd,0.0,0.0,0.16,0.11,0.2,0.35,0.0,0.0,0.0,0.16,5
8yjra8,0.14,0.0,0.03,0.06,0.18,0.02,0.02,0.0,0.0,0.56,9
8yjsra,0.0,0.0,0.0,0.0,0.35,0.05,0.05,0.0,0.29,0.25,4
8yk1j9,0.0,0.0,0.0,0.0,0.05,0.71,0.0,0.0,0.15,0.08,5
8ykdxt,0.0,0.0,0.0,0.0,0.0,0.37,0.5,0.05,0.07,0.0,6
8ykiic,0.0,0.0,0.08,0.0,0.0,0.4,0.0,0.13,0.38,0.0,5
8ykrm2,0.15,0.0,0.48,0.0,0.0,0.0,0.09,0.0,0.27,0.0,2
8ylf1w,0.0,0.0,0.0,0.57,0.17,0.0,0.0,0.0,0.23,0.0,3
8ymccl,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.35,0.0,5
8ymtn5,0.0,0.54,0.0,0.24,0.0,0.0,0.0,0.09,0.0,0.11,1
8yn52e,0.0,0.0,0.03,0.15,0.13,0.08,0.0,0.0,0.6,0.0,8
8ynq8m,0.0,0.0,0.07,0.03,0.22,0.37,0.0,0.0,0.3,0.0,5
8yqpw5,0.0,0.0,0.36,0.47,0.0,0.13,0.0,0.0,0.0,0.0,3
8yr8lm,0.47,0.0,0.13,0.0,0.04,0.19,0.0,0.0,0.0,0.16,0
8yu7cd,0.24,0.0,0.05,0.46,0.0,0.0,0.0,0.0,0.23,0.0,3
8yvoh6,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.94,0.01,8
8z06c9,0.18,0.01,0.21,0.0,0.0,0.1,0.0,0.1,0.41,0.0,8
8z0iy9,0.31,0.0,0.0,0.0,0.28,0.22,0.05,0.13,0.0,0.0,0
8z0sjr,0.01,0.01,0.54,0.38,0.01,0.01,0.01,0.01,0.01,0.01,2
8z0xkw,0.01,0.01,0.01,0.33,0.21,0.01,0.01,0.01,0.38,0.01,8
8z1l0l,0.0,0.0,0.0,0.0,0.17,0.13,0.09,0.39,0.0,0.2,7
8z70wf,0.0,0.0,0.4,0.17,0.0,0.0,0.0,0.0,0.41,0.0,8
8z7yec,0.0,0.0,0.69,0.0,0.0,0.28,0.0,0.0,0.0,0.0,2
8z87dw,0.21,0.05,0.0,0.0,0.05,0.32,0.0,0.0,0.0,0.37,9
8z8mya,0.0,0.0,0.0,0.17,0.8,0.0,0.0,0.0,0.0,0.0,4
8z9fad,0.0,0.0,0.0,0.0,0.27,0.39,0.1,0.12,0.06,0.06,5
8zaw5z,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.43,0.07,4
8zaxvf,0.0,0.0,0.07,0.0,0.49,0.0,0.0,0.0,0.42,0.0,4
8zc174,0.01,0.01,0.01,0.01,0.82,0.01,0.01,0.01,0.01,0.13,4
8zc62o,0.0,0.09,0.29,0.25,0.13,0.0,0.0,0.11,0.12,0.0,2
8zceft,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,8
8zd8xt,0.11,0.0,0.03,0.0,0.35,0.24,0.0,0.1,0.17,0.0,4
8zdr7u,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.66,0.13,8
8zeu1p,0.0,0.0,0.0,0.04,0.0,0.33,0.0,0.0,0.0,0.63,9
8zgiww,0.0,0.0,0.49,0.32,0.0,0.18,0.0,0.0,0.0,0.0,2
8ziyks,0.31,0.0,0.37,0.24,0.0,0.0,0.0,0.0,0.06,0.0,2
8zjvum,0.28,0.64,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8zkp56,0.01,0.01,0.01,0.67,0.01,0.29,0.01,0.01,0.01,0.01,3
8zn6i6,0.17,0.0,0.15,0.0,0.36,0.0,0.0,0.0,0.0,0.3,4
8znedm,0.01,0.01,0.01,0.44,0.01,0.01,0.01,0.01,0.51,0.01,8
8zngzd,0.0,0.0,0.0,0.0,0.28,0.61,0.0,0.0,0.0,0.09,5
8zp2y6,0.53,0.0,0.12,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0
8zp9qy,0.52,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0
8zpk3s,0.23,0.2,0.0,0.0,0.0,0.0,0.09,0.18,0.28,0.0,8
8zq112,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.13,0.2,0.43,9
8zrxmg,0.0,0.0,0.0,0.04,0.42,0.53,0.0,0.0,0.0,0.0,5
8zst5z,0.2,0.0,0.0,0.0,0.1,0.68,0.0,0.0,0.0,0.0,5
8zt0kv,0.25,0.3,0.01,0.38,0.01,0.01,0.01,0.01,0.01,0.01,3
8ztc6s,0.12,0.06,0.02,0.0,0.37,0.0,0.17,0.06,0.21,0.0,4
8ztlce,0.31,0.0,0.03,0.0,0.37,0.1,0.0,0.18,0.0,0.0,4
8zu7ue,0.02,0.02,0.02,0.44,0.02,0.02,0.02,0.42,0.02,0.02,3
8zvs3w,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.45,0.22,8
8zvsrv,0.0,0.0,0.0,0.21,0.22,0.33,0.09,0.0,0.14,0.0,5
8zwh4d,0.0,0.0,0.11,0.19,0.0,0.32,0.0,0.22,0.0,0.15,5
8zwscw,0.0,0.0,0.1,0.0,0.7,0.0,0.0,0.09,0.0,0.1,4
8zwz5m,0.0,0.1,0.0,0.0,0.12,0.3,0.17,0.0,0.0,0.29,5
8zxa7q,0.0,0.25,0.0,0.18,0.0,0.0,0.0,0.31,0.0,0.23,7
9005g3,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.11,0.0,5
901oq3,0.27,0.35,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.21,1
902jvm,0.21,0.0,0.12,0.0,0.34,0.0,0.0,0.0,0.16,0.17,4
903r93,0.0,0.0,0.22,0.0,0.0,0.23,0.11,0.05,0.26,0.13,8
9047nb,0.0,0.37,0.0,0.0,0.0,0.03,0.0,0.39,0.0,0.2,7
9058ez,0.0,0.0,0.05,0.0,0.03,0.85,0.06,0.0,0.0,0.0,5
905hh8,0.0,0.0,0.16,0.0,0.1,0.24,0.0,0.34,0.15,0.0,7
905l3y,0.0,0.07,0.0,0.14,0.0,0.13,0.46,0.0,0.0,0.19,6
9073lv,0.1,0.22,0.03,0.0,0.09,0.0,0.06,0.18,0.32,0.0,8
907gwt,0.0,0.0,0.0,0.0,0.08,0.67,0.0,0.23,0.0,0.0,5
908laz,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,4
90av73,0.0,0.0,0.0,0.06,0.22,0.62,0.0,0.0,0.09,0.0,5
90c4pp,0.0,0.0,0.0,0.0,0.07,0.69,0.0,0.0,0.23,0.0,5
90cddk,0.01,0.95,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1
90cohz,0.15,0.0,0.0,0.0,0.19,0.47,0.02,0.0,0.17,0.0,5
90d287,0.45,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0
90d5rc,0.24,0.01,0.21,0.23,0.27,0.01,0.01,0.01,0.01,0.01,4
90ddja,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.16,0.57,0.05,8
90ds0s,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.29,0.25,2
90fzjn,0.22,0.12,0.07,0.05,0.12,0.0,0.15,0.0,0.09,0.18,0
90g2i0,0.01,0.52,0.23,0.2,0.01,0.01,0.01,0.01,0.01,0.01,1
90gbsp,0.01,0.01,0.19,0.18,0.42,0.01,0.18,0.01,0.01,0.01,4
90gh7l,0.01,0.01,0.42,0.01,0.01,0.01,0.01,0.01,0.01,0.5,9
90hl20,0.0,0.0,0.52,0.0,0.0,0.09,0.0,0.0,0.27,0.12,2
90i5hh,0.0,0.19,0.0,0.0,0.0,0.08,0.08,0.0,0.49,0.16,8
90i92a,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1
90ixg2,0.0,0.0,0.0,0.0,0.14,0.58,0.0,0.0,0.25,0.0,5
90jyv4,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.58,0.0,8
90k2aa,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.19,5
90kh35,0.02,0.02,0.02,0.22,0.02,0.02,0.62,0.02,0.02,0.02,6
90lbzq,0.31,0.0,0.04,0.0,0.0,0.0,0.0,0.27,0.37,0.0,8
90o9ox,0.51,0.01,0.01,0.42,0.01,0.01,0.01,0.01,0.01,0.01,0
90p3rq,0.01,0.01,0.52,0.42,0.01,0.01,0.01,0.01,0.01,0.01,2
90pqws,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.17,0.0,5
90q2fo,0.0,0.0,0.0,0.15,0.38,0.0,0.44,0.0,0.0,0.0,6
90qih9,0.08,0.22,0.0,0.13,0.0,0.0,0.05,0.52,0.0,0.0,7
90t99y,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.69,0.0,8
90udnc,0.16,0.09,0.0,0.0,0.0,0.09,0.0,0.37,0.0,0.27,7
90vnqj,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.82,9
90vr5k,0.0,0.0,0.0,0.0,0.42,0.33,0.08,0.0,0.17,0.0,4
90wgal,0.0,0.13,0.0,0.05,0.17,0.0,0.09,0.21,0.32,0.03,8
90zv1z,0.0,0.08,0.0,0.0,0.09,0.06,0.0,0.67,0.09,0.0,7
911405,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.46,0.49,0.0,8
911c7h,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.41,3
911t1c,0.0,0.26,0.0,0.0,0.0,0.2,0.0,0.09,0.0,0.45,9
912em6,0.01,0.01,0.32,0.01,0.01,0.01,0.01,0.01,0.64,0.01,8
9136ax,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.22,0.0,5
913he6,0.0,0.0,0.17,0.0,0.28,0.13,0.0,0.06,0.35,0.0,8
91485c,0.25,0.0,0.0,0.12,0.0,0.6,0.0,0.0,0.0,0.0,5
918yih,0.0,0.0,0.0,0.25,0.0,0.72,0.0,0.0,0.0,0.0,5
919k89,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.38,0.32,0.2,7
919vdz,0.0,0.0,0.0,0.1,0.0,0.72,0.06,0.0,0.0,0.11,5
919xpd,0.37,0.0,0.11,0.14,0.0,0.34,0.04,0.0,0.0,0.0,0
91d7pu,0.0,0.0,0.0,0.0,0.38,0.25,0.0,0.0,0.35,0.0,4
91dxtr,0.26,0.0,0.0,0.16,0.21,0.0,0.0,0.0,0.0,0.35,9
91fl7p,0.0,0.0,0.09,0.0,0.17,0.29,0.43,0.0,0.0,0.0,6
91fsv8,0.54,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0
91gn93,0.41,0.21,0.01,0.01,0.01,0.33,0.01,0.01,0.01,0.01,0
91h6ig,0.01,0.01,0.01,0.45,0.01,0.5,0.01,0.01,0.01,0.01,5
91idto,0.0,0.0,0.0,0.09,0.19,0.08,0.0,0.0,0.38,0.25,8
91jzv8,0.0,0.0,0.0,0.1,0.44,0.16,0.0,0.0,0.0,0.29,4
91k61n,0.3,0.0,0.1,0.05,0.22,0.0,0.0,0.09,0.07,0.16,0
91ksrq,0.0,0.0,0.0,0.0,0.2,0.32,0.0,0.21,0.13,0.13,5
91m0xd,0.1,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.12,0.0,5
91mt5x,0.19,0.11,0.08,0.0,0.03,0.12,0.1,0.3,0.06,0.0,7
91n6jm,0.01,0.01,0.01,0.5,0.13,0.22,0.01,0.01,0.01,0.11,3
