,t0 health,t1 supplement,t2 advice,t3 thanks,t4 period,t5 period,t6 level,t7 weight,t8 like,t9 sex,t10 cyst,t11 doctor,t12 diet,t13 control,t14 feel,t15 amp,t16 hair,t17 metformin,t18 nt,t19 symptom,dominant_topic
vl9tv,0.0,0.0,0.0,0.02,0.02,0.1,0.08,0.02,0.0,0.0,0.0,0.27,0.0,0.12,0.0,0.0,0.23,0.0,0.02,0.11,11
vland,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.15,0.06,0.0,0.0,0.36,0.06,0.0,0.0,0.07,0.23,0.0,0.0,0.0,11
vm27a,0.0,0.0,0.0,0.08,0.0,0.2,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,14
vmlu3,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.16,0.0,0.0,0.32,0.0,0.0,11
vnosz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.22,0.0,0.0,8
votop,0.01,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.01,0.4,0.0,0.2,0.0,0.0,0.05,0.0,0.0,0.0,11
vqfhz,0.0,0.0,0.0,0.0,0.05,0.29,0.0,0.07,0.05,0.02,0.0,0.42,0.0,0.05,0.0,0.0,0.03,0.0,0.03,0.0,11
vqh5q,0.08,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.02,0.0,0.0,0.17,0.0,0.0,0.14,11
vqhjs,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.25,0.33,0.0,0.0,0.03,0.16,0.0,0.14,0.0,0.02,0.0,0.0,0.04,8
vqy2y,0.0,0.03,0.0,0.0,0.15,0.25,0.0,0.0,0.0,0.0,0.15,0.12,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.17,5
vwk3a,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.72,0.08,0.0,0.0,0.0,0.11,0.0,0.0,0.06,0.0,0.0,0.0,8
w0puw,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.05,0.07,0.0,0.0,0.2,0.0,0.1,0.05,0.0,0.12,0.23,0.0,0.0,17
w2jun,0.0,0.0,0.0,0.02,0.0,0.07,0.02,0.0,0.28,0.0,0.05,0.09,0.0,0.07,0.2,0.0,0.2,0.0,0.0,0.0,8
w2yy5,0.0,0.0,0.0,0.13,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,11
w38y8,0.0,0.0,0.14,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.57,19
w3b6i,0.0,0.0,0.0,0.05,0.0,0.46,0.0,0.0,0.15,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,5
w4xxm,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.06,0.0,0.09,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.1,11
w5iqk,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.16,0.0,0.0,0.0,0.37,0.0,0.0,0.04,0.0,0.0,0.15,0.02,0.1,11
w6ue4,0.0,0.0,0.07,0.0,0.0,0.06,0.0,0.1,0.0,0.0,0.06,0.43,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,11
wbiqc,0.02,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,11
wbpjq,0.0,0.0,0.0,0.03,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.09,0.0,0.15,0.37,0.1,0.0,0.0,16
wclcw,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.27,0.0,0.0,8
whsk5,0.0,0.0,0.13,0.06,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
wjilc,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
wm8km,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.35,0.0,0.0,0.0,0.23,0.0,0.0,0.08,0.02,0.0,0.0,0.0,0.22,7
wmqb6,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.55,0.13,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.02,10
wnrfa,0.04,0.0,0.0,0.0,0.0,0.34,0.23,0.0,0.0,0.0,0.04,0.1,0.0,0.0,0.0,0.0,0.05,0.0,0.04,0.15,5
wokhx,0.0,0.0,0.16,0.03,0.0,0.0,0.0,0.0,0.45,0.06,0.08,0.0,0.0,0.0,0.11,0.0,0.0,0.05,0.0,0.07,8
wp8fn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.15,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.17,0.41,0.0,0.0,17
wpr61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,14
wpvem,0.0,0.0,0.02,0.0,0.0,0.0,0.08,0.04,0.0,0.0,0.0,0.41,0.25,0.02,0.08,0.05,0.04,0.0,0.01,0.0,11
wue4x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.07,0.0,0.0,0.0,0.0,0.28,0.0,0.11,0.0,0.27,0.16,14
wupwv,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.08,0.0,0.04,0.3,0.0,0.22,0.2,0.0,0.05,0.05,0.0,0.0,11
wvdpk,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.37,0.0,0.19,0.0,0.0,0.0,0.0,0.0,8
wxjne,0.04,0.0,0.07,0.02,0.0,0.23,0.0,0.07,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.08,0.0,0.14,0.06,11
wyu1f,0.23,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.18,0.0,0.0,0.19,0.0,0.0,0.07,5
wzdda,0.0,0.0,0.0,0.0,0.06,0.21,0.0,0.0,0.17,0.0,0.0,0.24,0.0,0.06,0.19,0.02,0.0,0.0,0.05,0.0,11
x07qt,0.23,0.0,0.15,0.05,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.21,0.13,0.0,0.0,0.0,0.11,0.08,0.0,0
x1ydu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.04,0.0,0.0,0.14,0.16,0.07,0.0,0.0,0.02,0.07,0.31,19
x216x,0.27,0.0,0.0,0.0,0.0,0.22,0.0,0.04,0.0,0.0,0.06,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.05,0.0,14
x4wpr,0.0,0.0,0.0,0.0,0.05,0.12,0.0,0.05,0.32,0.0,0.0,0.14,0.07,0.03,0.2,0.0,0.0,0.0,0.02,0.0,8
x55hx,0.0,0.0,0.0,0.0,0.0,0.13,0.02,0.32,0.0,0.0,0.02,0.0,0.04,0.0,0.24,0.0,0.0,0.17,0.05,0.0,7
x6heu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.13,0.0,0.0,0.0,0.0,14
x8ovm,0.0,0.0,0.04,0.0,0.0,0.0,0.06,0.21,0.11,0.0,0.0,0.0,0.19,0.09,0.16,0.0,0.0,0.06,0.06,0.0,7
xao5q,0.0,0.0,0.0,0.0,0.15,0.18,0.0,0.0,0.17,0.0,0.0,0.18,0.0,0.21,0.0,0.0,0.0,0.0,0.1,0.0,13
xaq0z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.24,0.0,0.17,0.14,0.0,0.0,0.15,0.0,0.25,19
xbef6,0.0,0.0,0.0,0.0,0.04,0.0,0.14,0.07,0.38,0.0,0.0,0.09,0.0,0.15,0.07,0.0,0.0,0.0,0.0,0.05,8
xbqfz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.15,0.0,0.05,0.26,0.0,0.0,0.03,0.22,0.13,14
xcsh5,0.03,0.0,0.0,0.0,0.0,0.2,0.0,0.07,0.0,0.0,0.05,0.18,0.15,0.01,0.18,0.0,0.0,0.0,0.12,0.0,5
xd8o8,0.0,0.03,0.05,0.03,0.0,0.0,0.06,0.04,0.14,0.0,0.04,0.0,0.43,0.0,0.0,0.0,0.04,0.13,0.0,0.0,12
xdxmk,0.0,0.0,0.0,0.04,0.02,0.0,0.0,0.1,0.0,0.14,0.09,0.28,0.0,0.14,0.13,0.0,0.05,0.0,0.0,0.0,11
xe8x4,0.0,0.0,0.07,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.11,0.69,0.0,0.0,0.0,0.04,0.0,0.0,0.02,0.0,11
xeqm1,0.02,0.0,0.0,0.0,0.0,0.21,0.04,0.13,0.0,0.0,0.0,0.0,0.0,0.05,0.25,0.0,0.14,0.0,0.03,0.12,14
xfcxr,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,8
xhqz2,0.0,0.0,0.06,0.0,0.0,0.13,0.0,0.01,0.2,0.0,0.07,0.2,0.0,0.06,0.26,0.0,0.0,0.0,0.0,0.0,14
xi4bz,0.05,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.02,0.33,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.26,0.15,10
xisbr,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.17,0.0,0.14,0.07,0.0,0.0,0.0,0.0,0.28,19
xky3e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.09,0.17,0.0,0.0,0.0,0.55,19
xlre0,0.0,0.02,0.11,0.02,0.0,0.0,0.0,0.2,0.11,0.0,0.0,0.03,0.23,0.11,0.05,0.0,0.09,0.0,0.02,0.0,12
xrrv1,0.0,0.0,0.0,0.05,0.0,0.0,0.07,0.26,0.0,0.0,0.0,0.13,0.13,0.0,0.35,0.0,0.0,0.0,0.0,0.0,14
xtidd,0.0,0.0,0.0,0.02,0.13,0.0,0.2,0.02,0.0,0.0,0.08,0.29,0.0,0.04,0.0,0.04,0.12,0.0,0.04,0.0,11
xtmof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.1,0.29,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,7
xvz28,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.16,0.03,0.0,0.0,0.48,0.0,0.12,0.0,0.0,0.0,0.0,0.07,12
xw92k,0.0,0.0,0.12,0.0,0.0,0.24,0.0,0.04,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.17,0.13,0.07,0.0,5
xwdur,0.04,0.0,0.0,0.0,0.0,0.43,0.0,0.11,0.0,0.06,0.08,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,5
xx50w,0.0,0.0,0.0,0.0,0.0,0.26,0.06,0.0,0.0,0.0,0.0,0.0,0.28,0.06,0.0,0.0,0.27,0.07,0.0,0.0,12
xxsyw,0.0,0.0,0.05,0.0,0.0,0.08,0.0,0.0,0.37,0.0,0.16,0.0,0.0,0.18,0.13,0.0,0.03,0.0,0.0,0.0,8
xzwvo,0.11,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.7,0.0,0.0,0.0,0.0,15
y1gu7,0.0,0.0,0.18,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.37,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,10
y35xp,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.21,0.17,0.0,0.0,0.0,0.12,0.0,0.02,0.23,19
y63vu,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.2,0.22,0.36,0.0,0.0,0.0,16
y7umv,0.1,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.26,0.06,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.3,0.0,18
y8dhr,0.02,0.0,0.0,0.15,0.0,0.0,0.0,0.04,0.06,0.0,0.0,0.14,0.32,0.0,0.2,0.0,0.0,0.07,0.0,0.0,12
y8h2e,0.0,0.0,0.09,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,6
y9iyq,0.11,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.27,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.18,0.15,0.0,9
ycq82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.32,0.0,0.0,0.0,0.35,0.0,0.0,17
yd5ti,0.09,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.43,0.0,0.12,0.0,0.0,0.12,0.0,0.0,0.0,11
ydxu4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.12,0.0,0.22,0.18,0.27,0.03,0.0,0.0,0.11,0.0,0.02,0.0,12
yf25i,0.0,0.0,0.12,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.5,0.0,0.0,0.0,0.03,0.0,14
yfz5o,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.31,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.51,0.01,0.01,17
yh4v9,0.05,0.04,0.0,0.0,0.22,0.0,0.07,0.05,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.04,8
yimah,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.07,0.0,0.0,0.0,0.35,14
yjxq5,0.0,0.0,0.0,0.01,0.15,0.38,0.0,0.0,0.0,0.0,0.02,0.13,0.0,0.28,0.0,0.0,0.0,0.0,0.03,0.0,5
yjylp,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.17,0.0,0.0,0.0,0.0,0.2,0.0,0.0,11
ym1kp,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.43,0.0,0.0,0.06,0.0,0.16,0.09,13
yp8o1,0.0,0.0,0.0,0.07,0.0,0.0,0.09,0.15,0.0,0.0,0.04,0.27,0.06,0.14,0.0,0.0,0.15,0.02,0.0,0.0,11
yq150,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.38,0.0,0.0,0.0,16
yr6ql,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.25,0.0,0.0,8
ythqs,0.01,0.01,0.01,0.17,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.33,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.35,19
yu7d9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.58,19
yvh0a,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,2
yxiuj,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.32,0.0,0.0,0.0,0.09,0.0,14
yy4fo,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.28,0.0,0.0,0.0,0.0,0.19,0.0,4
yys1u,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.07,0.0,0.11,0.1,0.0,0.0,0.0,0.21,0.0,0.0,0.15,0.0,0.17,14
z0a3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.42,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.16,0.0,8
z0wtd,0.03,0.0,0.0,0.0,0.01,0.3,0.0,0.11,0.12,0.0,0.07,0.23,0.03,0.07,0.0,0.0,0.0,0.02,0.0,0.0,5
z102b,0.03,0.0,0.12,0.0,0.0,0.23,0.22,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,10
z160y,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.58,0.0,0.0,0.0,16
z1dgh,0.0,0.0,0.0,0.0,0.0,0.11,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.34,0.0,0.0,0.0,16
z1eat,0.0,0.0,0.0,0.05,0.08,0.38,0.0,0.0,0.38,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
z1ogo,0.0,0.0,0.08,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.19,0.0,0.0,16
zaebx,0.0,0.0,0.0,0.0,0.05,0.1,0.0,0.13,0.21,0.0,0.03,0.21,0.02,0.03,0.0,0.0,0.13,0.02,0.07,0.0,8
zbnrk,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.53,0.16,0.15,0.0,0.09,0.0,0.0,0.0,0.0,11
zbz9e,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.07,0.18,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.34,0.0,0.19,17
zcouy,0.0,0.0,0.0,0.06,0.28,0.0,0.0,0.03,0.0,0.0,0.11,0.15,0.0,0.0,0.15,0.0,0.0,0.21,0.0,0.0,4
zcrje,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.06,0.0,8
zdr0a,0.13,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.14,0.45,0.02,0.13,0.0,0.0,0.0,0.0,0.05,12
ze3b5,0.11,0.0,0.0,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.21,0.29,0.0,0.0,0.0,0.0,0.05,0.0,13
zf2v3,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.32,0.14,0.16,0.09,0.0,0.18,0.0,0.0,0.0,11
zfq8x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.62,19
zg7sp,0.0,0.0,0.0,0.07,0.0,0.33,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.09,0.15,5
zgz4c,0.0,0.0,0.03,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.59,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
zj032,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.46,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,11
zjajh,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.28,0.0,0.04,0.2,0.0,0.18,0.0,0.06,0.0,11
zki98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.25,0.07,0.0,0.19,0.0,0.0,0.0,12
zmg33,0.01,0.01,0.01,0.01,0.27,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.58,0.01,0.01,0.01,0.01,0.01,0.01,0.01,12
zmt5l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.09,0.12,0.0,0.0,0.0,0.0,0.49,0.0,0.04,17
znpka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.16,0.12,0.0,0.0,0.0,0.0,0.5,0.0,0.06,17
znyb7,0.0,0.0,0.0,0.0,0.2,0.29,0.0,0.19,0.15,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
zo8l3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.21,0.0,0.2,0.0,0.0,0.19,0.0,0.0,8
zo9ok,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.23,0.15,13
zojc9,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.23,0.15,13
zok1l,0.0,0.0,0.1,0.0,0.0,0.7,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,5
zokht,0.0,0.0,0.0,0.04,0.19,0.0,0.0,0.0,0.35,0.0,0.26,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
zphwh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,8
zqdef,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,13
zqjyv,0.08,0.0,0.0,0.0,0.32,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
zrxnt,0.0,0.0,0.0,0.0,0.0,0.23,0.07,0.0,0.03,0.0,0.04,0.12,0.0,0.0,0.18,0.04,0.19,0.0,0.09,0.0,5
zsddw,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.11,0.0,0.0,0.0,0.0,0.53,19
zsezh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.14,0.01,0.28,0.01,0.01,0.01,0.01,0.49,0.01,0.01,0.01,16
zt05u,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
ztqhd,0.0,0.0,0.03,0.01,0.0,0.16,0.0,0.03,0.17,0.0,0.14,0.06,0.02,0.19,0.0,0.0,0.0,0.02,0.09,0.08,13
zz5g4,0.19,0.0,0.11,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.08,0.0,0.52,0.0,0.0,0.0,0.0,0.0,14
zzqi1,0.0,0.0,0.06,0.0,0.0,0.11,0.07,0.09,0.0,0.07,0.0,0.0,0.05,0.22,0.13,0.0,0.15,0.0,0.05,0.0,13
zzstk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.12,0.0,0.0,8
102gok,0.0,0.0,0.0,0.0,0.0,0.2,0.02,0.03,0.26,0.0,0.03,0.12,0.0,0.13,0.0,0.0,0.08,0.0,0.02,0.11,8
102h1y,0.0,0.0,0.0,0.0,0.0,0.2,0.02,0.03,0.26,0.0,0.03,0.12,0.0,0.13,0.0,0.0,0.08,0.0,0.02,0.11,8
103o4t,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.86,0.01,0.01,0.01,0.01,0.01,14
103sd2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.32,0.0,0.0,0.0,0.0,0.11,0.11,0.29,0.0,11
105uv0,0.0,0.06,0.08,0.0,0.02,0.0,0.13,0.0,0.08,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.12,0.03,0.26,19
107sri,0.12,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.16,0.08,14
108r91,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.49,0.0,0.1,0.03,0.0,0.0,0.0,0.0,0.12,11
109adb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.33,0.0,0.08,0.24,0.0,0.09,0.08,0.0,0.0,0.0,0.05,0.07,8
109k2e,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.24,0.01,0.0,0.03,0.0,0.0,0.06,0.01,0.44,0.0,0.0,0.0,16
109vgy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
10e7qa,0.0,0.0,0.0,0.02,0.0,0.55,0.0,0.02,0.0,0.0,0.01,0.15,0.0,0.05,0.13,0.0,0.0,0.01,0.05,0.0,5
10gfq9,0.05,0.0,0.0,0.0,0.03,0.16,0.1,0.22,0.0,0.0,0.0,0.23,0.0,0.13,0.0,0.0,0.0,0.0,0.07,0.0,11
10gi3g,0.0,0.0,0.13,0.07,0.0,0.17,0.0,0.09,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.1,0.0,12
10h6t2,0.0,0.0,0.0,0.06,0.0,0.0,0.27,0.21,0.0,0.0,0.0,0.33,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.0,11
10joqu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.14,0.0,0.0,0.15,0.31,11
10kys3,0.1,0.0,0.0,0.09,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.18,0.09,0.27,19
10o7gx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.31,0.24,0.0,17
10p2ml,0.02,0.0,0.0,0.0,0.03,0.05,0.0,0.08,0.0,0.0,0.07,0.44,0.03,0.01,0.11,0.0,0.0,0.13,0.04,0.0,11
10w5z3,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.48,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,8
10w82q,0.05,0.0,0.0,0.0,0.09,0.0,0.0,0.11,0.0,0.08,0.0,0.3,0.09,0.0,0.17,0.0,0.04,0.0,0.0,0.08,11
10xyy3,0.0,0.0,0.0,0.0,0.1,0.05,0.01,0.02,0.08,0.0,0.05,0.54,0.0,0.08,0.0,0.0,0.02,0.0,0.03,0.02,11
10ycbk,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.11,0.0,0.0,0.0,0.0,0.53,0.03,0.0,0.0,0.0,0.0,0.03,0.12,12
1101yt,0.0,0.0,0.04,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.21,0.07,0.0,0.43,0.0,0.0,0.0,0.0,0.15,14
