,t0 side,t1 amp,t2 experience,t3 blood,t4 nt,t5 weight,t6 pelvic,t7 didn,t8 control,t9 day,t10 surgery,t11 doctor,t12 period,t13 flare,t14 like,dominant_topic
ac9hqz,0.06,0.0,0.41,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
aca0rm,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.8,0.0,0.0,0.0,11
acaoqq,0.0,0.03,0.0,0.0,0.19,0.0,0.07,0.0,0.0,0.24,0.0,0.0,0.25,0.0,0.21,12
acc751,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,10
acf2eb,0.0,0.0,0.54,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
achllq,0.12,0.0,0.15,0.02,0.0,0.05,0.0,0.0,0.38,0.0,0.18,0.0,0.0,0.1,0.0,8
acj55c,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.16,0.0,0.0,0.34,0.1,0.0,12
ack3ie,0.19,0.0,0.0,0.0,0.43,0.05,0.0,0.0,0.15,0.0,0.17,0.0,0.0,0.0,0.0,4
ackm42,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.53,0.03,13
acovu6,0.0,0.0,0.4,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,2
acq2ql,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.16,6
acsz7z,0.13,0.0,0.0,0.13,0.05,0.0,0.0,0.0,0.0,0.29,0.0,0.2,0.0,0.17,0.0,9
act92n,0.04,0.0,0.04,0.06,0.0,0.0,0.0,0.0,0.0,0.09,0.45,0.2,0.11,0.0,0.0,10
ad1g7z,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.35,14
ada83h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.0,0.0,0.07,0.6,14
adaprf,0.0,0.06,0.37,0.0,0.0,0.0,0.37,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,2
adciu6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.09,0.76,14
adcsiy,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.31,0.0,1
adegaq,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.88,14
adesm9,0.0,0.02,0.0,0.32,0.35,0.0,0.0,0.0,0.0,0.0,0.15,0.14,0.0,0.0,0.0,4
adew4k,0.0,0.0,0.0,0.04,0.0,0.0,0.27,0.02,0.0,0.0,0.0,0.0,0.0,0.04,0.61,14
adib47,0.0,0.0,0.0,0.15,0.0,0.0,0.22,0.0,0.14,0.0,0.46,0.0,0.0,0.0,0.0,10
adidds,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.88,0.01,0.01,0.01,0.01,10
adj2a4,0.0,0.14,0.04,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.05,0.0,0.14,0.0,0.0,8
adl8w8,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,4
adlk22,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.03,0.0,0.0,0.28,0.17,0.0,0.06,0.0,4
adn9gj,0.0,0.0,0.0,0.39,0.0,0.0,0.05,0.0,0.14,0.0,0.08,0.0,0.34,0.0,0.0,3
adoxst,0.06,0.0,0.0,0.0,0.18,0.0,0.06,0.0,0.26,0.24,0.0,0.0,0.0,0.0,0.19,8
adpg0s,0.03,0.04,0.0,0.0,0.37,0.13,0.0,0.03,0.17,0.0,0.12,0.0,0.0,0.0,0.11,4
adsjoc,0.0,0.09,0.0,0.0,0.16,0.0,0.02,0.0,0.38,0.0,0.04,0.0,0.07,0.0,0.24,8
adsrsh,0.0,0.0,0.1,0.0,0.0,0.0,0.15,0.0,0.0,0.32,0.23,0.0,0.19,0.0,0.0,9
ady503,0.17,0.0,0.23,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.19,0.21,0.0,0.0,0.05,2
adydk2,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.25,0.0,0.0,0.23,0.0,0.0,0.44,14
adyjwq,0.13,0.0,0.26,0.11,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.2,0.0,0.21,0.0,2
ae48tz,0.0,0.0,0.37,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.06,0.14,2
ae4gxh,0.0,0.04,0.15,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.34,0.16,0.0,0.0,11
ae4nny,0.0,0.0,0.22,0.0,0.65,0.0,0.0,0.04,0.06,0.0,0.0,0.0,0.0,0.0,0.0,4
ae5bze,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.1,0.28,0.1,0.26,0.0,0.04,0.15,9
aeb73f,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0
aeboh5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.56,0.16,0.0,0.0,0.07,0.17,9
aed1y1,0.03,0.0,0.13,0.11,0.12,0.05,0.0,0.05,0.01,0.3,0.12,0.0,0.0,0.0,0.1,9
aeev11,0.0,0.0,0.11,0.06,0.15,0.0,0.0,0.0,0.24,0.0,0.0,0.24,0.0,0.0,0.19,8
aef1wg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.15,0.0,0.2,9
aej9ls,0.0,0.0,0.0,0.0,0.23,0.0,0.06,0.0,0.0,0.0,0.35,0.21,0.14,0.0,0.0,10
ael87g,0.26,0.0,0.0,0.0,0.62,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
aelkhz,0.06,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.1,4
aenc6r,0.08,0.01,0.48,0.01,0.24,0.01,0.13,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
aens42,0.0,0.0,0.0,0.0,0.75,0.03,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,4
aeoyip,0.05,0.0,0.0,0.09,0.14,0.0,0.0,0.0,0.19,0.06,0.14,0.33,0.0,0.0,0.0,11
aerbxh,0.0,0.0,0.35,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,2
aerjae,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.19,0.0,0.0,0.16,0.1,0.37,14
aetldz,0.03,0.0,0.18,0.0,0.0,0.0,0.0,0.02,0.32,0.0,0.13,0.0,0.27,0.04,0.0,8
aeuksn,0.01,0.01,0.01,0.79,0.01,0.01,0.01,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3
aeuy96,0.0,0.12,0.11,0.0,0.19,0.0,0.0,0.0,0.11,0.06,0.12,0.0,0.0,0.03,0.25,14
aevng2,0.0,0.0,0.12,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.33,14
aexgti,0.0,0.0,0.25,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,10
aezb5u,0.03,0.0,0.13,0.05,0.17,0.0,0.1,0.0,0.0,0.1,0.0,0.41,0.0,0.0,0.0,11
af1cib,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.23,0.0,0.17,0.0,0.0,0.15,8
af43wa,0.0,0.0,0.16,0.0,0.4,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.06,0.0,0.19,4
af9dyk,0.01,0.01,0.57,0.14,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21,0.01,0.01,0.01,2
afj0xj,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,9
afjp4x,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.02,0.12,0.16,0.0,9
afkj7c,0.0,0.07,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.2,0.0,0.05,9
afnqrg,0.0,0.0,0.18,0.0,0.0,0.01,0.0,0.0,0.54,0.12,0.04,0.0,0.1,0.0,0.0,8
afp3xt,0.01,0.01,0.01,0.38,0.01,0.01,0.01,0.01,0.01,0.01,0.54,0.01,0.01,0.01,0.01,10
afr95s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.08,0.0,0.0,0.0,0.22,9
afs9nq,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.54,0.0,0.0,12
afwfqv,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.05,0.17,0.13,0.36,0.0,0.24,12
afykj9,0.0,0.1,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.1,0.0,10
afyo7l,0.23,0.0,0.18,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.26,0.0,13
afz7se,0.02,0.02,0.14,0.12,0.0,0.02,0.0,0.0,0.11,0.07,0.0,0.05,0.35,0.02,0.09,12
ag2yhc,0.12,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.18,0.0,0.17,0.09,0.0,0.08,0.0,4
ag354k,0.0,0.0,0.02,0.0,0.28,0.02,0.0,0.02,0.13,0.15,0.0,0.16,0.17,0.03,0.0,4
ag6loe,0.03,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.38,0.07,0.0,0.13,0.11,0.0,9
ag754m,0.23,0.0,0.0,0.0,0.51,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
ag7d9c,0.0,0.0,0.0,0.0,0.0,0.04,0.13,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.23,10
agbjsg,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.03,0.0,0.26,0.0,0.0,0.23,0.0,0.0,4
agfj1g,0.0,0.1,0.21,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.37,0.0,0.0,12
agfooa,0.04,0.0,0.0,0.09,0.0,0.0,0.06,0.0,0.39,0.0,0.19,0.0,0.22,0.0,0.0,8
agfsc9,0.0,0.06,0.0,0.05,0.08,0.0,0.0,0.03,0.0,0.2,0.16,0.0,0.25,0.0,0.19,12
agh7uy,0.0,0.0,0.12,0.0,0.51,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
aghem2,0.11,0.01,0.01,0.01,0.01,0.01,0.22,0.01,0.01,0.01,0.01,0.6,0.01,0.01,0.01,11
agjlkg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.34,0.3,0.0,0.0,10
agmwf9,0.08,0.0,0.0,0.07,0.14,0.01,0.0,0.0,0.0,0.0,0.32,0.0,0.28,0.04,0.05,10
agpgwj,0.01,0.38,0.01,0.01,0.56,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4
ags46p,0.0,0.0,0.14,0.0,0.0,0.01,0.01,0.01,0.02,0.0,0.04,0.15,0.26,0.0,0.34,14
agtrsv,0.08,0.03,0.0,0.0,0.08,0.0,0.09,0.0,0.23,0.29,0.04,0.0,0.0,0.08,0.08,9
agu680,0.01,0.39,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.35,0.2,0.01,0.01,0.01,1
agwnsk,0.0,0.0,0.14,0.04,0.0,0.0,0.0,0.0,0.23,0.09,0.14,0.18,0.07,0.0,0.11,8
agxzp8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.06,0.0,0.3,0.0,0.16,8
ah148f,0.0,0.0,0.21,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.44,0.17,0.0,0.0,0.0,10
ah1gh2,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.41,0.0,0.13,0.0,11
ah1tns,0.11,0.0,0.07,0.11,0.0,0.06,0.03,0.0,0.03,0.0,0.0,0.0,0.43,0.0,0.16,12
ah3yvb,0.0,0.06,0.05,0.0,0.19,0.0,0.02,0.0,0.28,0.0,0.0,0.07,0.2,0.0,0.13,8
ah4v1n,0.0,0.05,0.0,0.08,0.0,0.0,0.02,0.05,0.15,0.23,0.13,0.0,0.29,0.0,0.0,12
ah4z2v,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.06,0.0,0.0,0.42,0.0,0.09,12
ah5qfc,0.0,0.04,0.0,0.07,0.0,0.0,0.0,0.05,0.08,0.07,0.13,0.18,0.38,0.0,0.0,12
ah6ycy,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.21,0.09,9
ah73t8,0.1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1,0.0,0.0,0.0,0.26,8
ah885z,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.22,0.0,10
aha8l2,0.16,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.32,0.18,0.0,0.09,0.0,10
ahbk0t,0.0,0.3,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,4
ahbna7,0.02,0.02,0.02,0.02,0.02,0.77,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,5
ahh4n3,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.13,0.0,8
ahjetn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.34,0.0,0.0,8
ahnnsb,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.45,0.0,0.0,0.18,0.08,10
ahnpf0,0.0,0.03,0.02,0.0,0.45,0.0,0.04,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.09,4
ahu2ia,0.0,0.0,0.23,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,11
ahvxue,0.03,0.4,0.12,0.0,0.0,0.04,0.03,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,1
ai039e,0.0,0.03,0.0,0.05,0.15,0.0,0.1,0.0,0.0,0.14,0.0,0.26,0.25,0.03,0.0,11
ai1z66,0.01,0.33,0.01,0.01,0.01,0.01,0.01,0.01,0.59,0.01,0.01,0.01,0.01,0.01,0.01,8
ai9o90,0.0,0.07,0.37,0.0,0.26,0.0,0.03,0.0,0.0,0.21,0.0,0.0,0.0,0.05,0.0,2
aidnog,0.0,0.0,0.0,0.0,0.36,0.06,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.31,4
aigl5m,0.0,0.03,0.14,0.0,0.0,0.0,0.0,0.0,0.12,0.17,0.35,0.18,0.0,0.0,0.0,10
aij1og,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.03,0.08,0.0,0.43,0.25,0.0,0.0,0.0,10
ailmwo,0.0,0.13,0.0,0.0,0.06,0.0,0.0,0.0,0.13,0.44,0.0,0.04,0.11,0.08,0.0,9
ain2kb,0.0,0.0,0.0,0.34,0.09,0.0,0.04,0.0,0.11,0.19,0.0,0.0,0.19,0.03,0.0,3
ainuml,0.01,0.01,0.68,0.24,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
aipjxq,0.0,0.0,0.13,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.46,14
aipuz1,0.0,0.0,0.47,0.0,0.0,0.0,0.15,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,2
aiq4l1,0.0,0.0,0.18,0.0,0.29,0.0,0.14,0.0,0.14,0.0,0.0,0.24,0.0,0.0,0.0,4
aiuqcb,0.03,0.03,0.03,0.03,0.53,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,4
aiuv38,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.34,8
aiy3a3,0.0,0.1,0.0,0.0,0.18,0.0,0.04,0.0,0.0,0.16,0.1,0.31,0.09,0.01,0.0,11
aiy689,0.0,0.0,0.05,0.05,0.1,0.0,0.08,0.01,0.07,0.07,0.09,0.3,0.04,0.05,0.09,11
aj2xx3,0.02,0.0,0.17,0.0,0.23,0.0,0.0,0.01,0.0,0.0,0.29,0.28,0.0,0.0,0.0,10
aj4735,0.2,0.0,0.28,0.0,0.0,0.08,0.0,0.0,0.34,0.0,0.0,0.07,0.0,0.0,0.0,8
aj4gxb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.41,0.0,0.38,0.1,0.0,0.0,0.0,8
aj5jba,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.05,0.0,0.33,0.19,0.0,0.0,0.05,0.0,2
aj5p0r,0.02,0.0,0.28,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.21,0.08,0.0,0.04,0.0,4
aj6ksg,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.69,0.02,0.02,12
aj7ja7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.15,0.0,0.43,0.25,0.0,0.0,11
aj7mez,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.61,0.0,0.0,12
ajdu34,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.03,0.15,0.0,0.0,0.11,0.52,0.0,0.07,12
aje91a,0.06,0.1,0.0,0.09,0.26,0.0,0.0,0.0,0.22,0.0,0.13,0.0,0.13,0.0,0.0,4
ajed56,0.01,0.0,0.0,0.04,0.0,0.0,0.04,0.0,0.05,0.0,0.01,0.0,0.69,0.0,0.15,12
ajgv87,0.04,0.0,0.03,0.02,0.19,0.05,0.0,0.0,0.06,0.07,0.24,0.29,0.0,0.0,0.0,11
ajj26m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.13,0.0,0.44,0.0,0.33,12
ajptj7,0.05,0.11,0.31,0.0,0.0,0.0,0.06,0.0,0.2,0.0,0.0,0.0,0.12,0.14,0.0,2
ajqsb6,0.0,0.0,0.0,0.0,0.29,0.01,0.0,0.0,0.11,0.29,0.0,0.12,0.06,0.0,0.11,4
ajs58w,0.18,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.03,0.0,0.11,10
ajwj8c,0.0,0.0,0.0,0.6,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
ajytrn,0.0,0.0,0.27,0.0,0.62,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,4
ak35o9,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.0,0.28,0.15,0.0,0.0,0.0,0.5,14
ak3uzw,0.08,0.0,0.21,0.0,0.14,0.0,0.0,0.03,0.2,0.0,0.23,0.0,0.0,0.1,0.0,10
ak4bzo,0.0,0.19,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.42,0.14,0.0,0.0,0.0,0.11,9
ak4u4l,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.33,0.0,0.0,0.46,0.0,13
ak5u9v,0.0,0.0,0.2,0.0,0.0,0.0,0.13,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,8
ak7m8m,0.0,0.0,0.0,0.0,0.14,0.02,0.0,0.03,0.0,0.09,0.0,0.12,0.32,0.0,0.28,12
ak927x,0.08,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.18,0.13,0.49,0.1,0.0,0.0,0.0,10
akao05,0.0,0.0,0.0,0.0,0.49,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,4
akco7z,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0
akcozv,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.12,0.0,4
akdfw6,0.07,0.0,0.0,0.21,0.42,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,4
akk5kx,0.0,0.0,0.0,0.0,0.14,0.01,0.0,0.0,0.24,0.22,0.0,0.0,0.24,0.04,0.11,8
akkk0x,0.0,0.0,0.0,0.0,0.45,0.12,0.0,0.0,0.09,0.0,0.0,0.0,0.32,0.0,0.0,4
aklt72,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,4
akn7nb,0.32,0.59,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1
aknnts,0.22,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,4
aknwmp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.43,8
akrnv3,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.07,0.0,0.0,9
akt3gy,0.0,0.1,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.0,0.67,0.0,0.0,12
aktj95,0.0,0.09,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.14,0.32,0.0,0.0,0.0,0.16,10
akwdh8,0.0,0.0,0.08,0.0,0.31,0.0,0.05,0.0,0.0,0.27,0.0,0.18,0.1,0.0,0.0,4
akyo32,0.08,0.0,0.15,0.0,0.2,0.0,0.0,0.0,0.0,0.09,0.46,0.0,0.0,0.0,0.0,10
akytv1,0.0,0.0,0.13,0.0,0.51,0.07,0.0,0.02,0.0,0.16,0.0,0.0,0.1,0.0,0.0,4
akz6o3,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.14,0.2,0.0,0.08,0.35,0.12,0.0,12
al1gba,0.0,0.0,0.0,0.0,0.14,0.01,0.0,0.0,0.12,0.0,0.0,0.17,0.17,0.0,0.38,14
al2nim,0.01,0.01,0.01,0.01,0.24,0.01,0.3,0.01,0.01,0.39,0.01,0.01,0.01,0.01,0.01,9
al32pc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,9
al45l5,0.0,0.0,0.15,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.5,14
al4ufe,0.38,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.26,0.0,0.0,0.0,0.0,0
al50nb,0.0,0.0,0.0,0.0,0.0,0.03,0.15,0.0,0.0,0.19,0.0,0.08,0.08,0.14,0.31,14
al5uig,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.13,0.17,0.0,0.19,0.33,0.0,0.14,12
al99st,0.2,0.0,0.2,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,10
al9cik,0.08,0.02,0.0,0.03,0.0,0.0,0.0,0.0,0.25,0.21,0.13,0.06,0.21,0.0,0.0,8
albnsl,0.04,0.0,0.01,0.0,0.35,0.0,0.01,0.0,0.16,0.16,0.03,0.22,0.0,0.02,0.0,4
alctl8,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,2
ale4tm,0.1,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,10
alfkcs,0.0,0.0,0.23,0.04,0.0,0.0,0.0,0.0,0.52,0.07,0.0,0.12,0.0,0.0,0.0,8
algril,0.0,0.0,0.11,0.0,0.0,0.0,0.05,0.0,0.23,0.27,0.0,0.0,0.24,0.1,0.0,9
alhypg,0.04,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,10
alimnd,0.09,0.0,0.09,0.0,0.21,0.0,0.16,0.01,0.0,0.0,0.05,0.22,0.0,0.16,0.0,11
aljygv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.28,0.29,0.41,0.0,0.0,0.0,11
allafz,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.27,0.0,0.38,0.0,0.0,0.0,0.0,10
allbrv,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.07,0.0,0.34,14
alld5n,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.27,0.45,0.0,0.0,0.0,0.0,10
allfl5,0.09,0.0,0.09,0.0,0.0,0.23,0.0,0.03,0.0,0.21,0.0,0.0,0.0,0.34,0.0,13
alljru,0.0,0.0,0.23,0.0,0.22,0.0,0.0,0.0,0.0,0.32,0.22,0.0,0.0,0.0,0.0,9
alyxmg,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.38,0.06,0.0,0.0,0.0,8
alzwce,0.0,0.0,0.0,0.05,0.0,0.0,0.1,0.04,0.13,0.0,0.51,0.0,0.16,0.0,0.0,10
am0w8u,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.33,0.0,0.11,0.0,10
am1j5r,0.12,0.0,0.0,0.0,0.18,0.0,0.08,0.0,0.06,0.02,0.09,0.12,0.25,0.07,0.0,12
am2qhp,0.16,0.0,0.33,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
am2t3m,0.0,0.0,0.14,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.22,0.0,0.0,4
am4ulk,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.25,0.0,0.06,0.0,10
am5g6z,0.06,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.3,0.0,0.4,0.0,0.0,12
am6nkw,0.0,0.03,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.15,0.0,0.22,0.0,0.0,0.5,14
am8tw8,0.13,0.0,0.0,0.0,0.58,0.0,0.0,0.04,0.0,0.08,0.0,0.0,0.0,0.14,0.0,4
amb2nw,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.79,14
amb49j,0.0,0.35,0.32,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,1
amcihi,0.06,0.0,0.0,0.0,0.15,0.03,0.0,0.0,0.13,0.05,0.19,0.28,0.0,0.02,0.08,11
amedbt,0.0,0.26,0.2,0.09,0.0,0.0,0.02,0.02,0.03,0.0,0.0,0.18,0.0,0.2,0.0,1
amf7mx,0.0,0.18,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,10
amk0r3,0.02,0.0,0.19,0.07,0.19,0.0,0.0,0.0,0.0,0.0,0.18,0.14,0.09,0.03,0.09,2
